,article_size,summary_size,prompt_tokens,completion_tokens,total_tokens,status,lang,delta,id
0,1539,436,1282,197,1479,200,ru,6.11516,8
1,3489,425,2164,194,2358,200,ru,9.551833,9
2,7135,605,3864,276,4140,200,ru,7.379068,11
3,1593,634,1316,289,1605,200,ru,8.584833,14
4,2533,232,1747,104,1851,200,ru,4.001243,2
5,2187,323,1587,146,1733,200,ru,5.155237,4
6,877,279,998,130,1128,200,ru,3.356129,16
7,2119,448,1562,205,1767,200,ru,5.791127,19
8,877,279,998,130,1128,200,ru,3.460303,16
9,3619,544,1466,136,1602,200,en,4.485392,95
10,2684,661,1208,165,1373,200,en,5.101184,96
11,3405,538,2143,245,2388,200,ru,7.277757,407
12,476,67,805,29,834,200,ru,1.653841,21
13,901,133,1005,63,1068,200,ru,1.67241,23
14,1367,356,1214,164,1378,200,ru,4.725917,24
15,745,127,928,58,986,200,ru,2.171844,25
16,1830,214,1427,99,1526,200,ru,3.706536,26
17,435,166,787,74,861,200,ru,3.112207,29
18,2558,469,1760,217,1977,200,ru,6.535619,30
19,1400,305,1233,138,1371,200,ru,4.254814,31
20,1830,186,1427,86,1513,200,ru,2.621983,26
21,1812,217,1414,101,1515,200,ru,2.793721,32
22,1322,165,1184,76,1260,200,ru,2.445192,33
23,2416,442,1674,204,1878,200,ru,4.581027,34
24,1563,368,1295,170,1465,200,ru,4.764674,35
25,2648,218,1800,102,1902,200,ru,3.12972,36
26,1057,278,1055,121,1176,200,ru,3.696569,45
27,2370,393,1668,178,1846,200,ru,4.716975,38
28,1655,390,1333,175,1508,200,ru,5.289426,39
29,1842,508,1426,231,1657,200,ru,6.002199,40
30,20678,500,9782,222,10004,200,ru,8.229144,125
31,7769,640,4105,291,4396,200,ru,8.009817,408
32,96,45,635,20,655,200,ru,1.310031,409
33,2315,211,1634,99,1733,200,ru,2.955255,41
34,1833,310,1420,144,1564,200,ru,3.998869,42
35,2060,406,1524,187,1711,200,ru,5.301266,43
36,2060,392,1524,180,1704,200,ru,4.562568,43
37,1153,499,1115,229,1344,200,ru,6.468673,47
38,3426,364,2151,165,2316,200,ru,4.916819,48
39,1884,400,1443,182,1625,200,ru,5.035662,49
40,2647,562,1793,256,2049,200,ru,6.434237,50
41,2032,279,1507,130,1637,200,ru,4.091219,51
42,1741,178,1363,79,1442,200,ru,3.37554,52
43,1164,153,1110,70,1180,200,ru,2.787552,53
44,1956,272,1465,121,1586,200,ru,4.219102,54
45,1569,198,1303,91,1394,200,ru,3.124012,55
46,1745,294,1377,132,1509,200,ru,4.066927,59
47,1627,368,1323,165,1488,200,ru,5.211224,60
48,2375,434,1666,200,1866,200,ru,5.204942,61
49,1642,453,1331,207,1538,200,ru,5.309009,62
50,1408,254,1215,114,1329,200,ru,3.240893,63
51,6790,1320,2258,330,2588,200,en,10.001116,2279
52,1739,128,1375,55,1430,200,ru,2.474534,64
53,2426,833,1692,381,2073,200,ru,7.972823,65
54,2833,470,1885,214,2099,200,ru,5.616007,66
55,964,256,1028,118,1146,200,ru,3.684153,69
56,708,182,913,84,997,200,ru,2.928785,70
57,1038,379,1071,176,1247,200,ru,4.592936,71
58,842,238,980,109,1089,200,ru,3.364521,72
59,720,191,904,83,987,200,ru,3.672048,78
60,2035,493,1518,225,1743,200,ru,5.513455,73
61,899,453,992,199,1191,200,ru,7.357482,74
62,542,122,833,54,887,200,ru,2.54578,75
63,754,374,931,167,1098,200,ru,4.197145,76
64,1191,255,1139,117,1256,200,ru,3.659124,77
65,552,144,838,65,903,200,ru,2.310933,83
66,1946,433,1488,199,1687,200,ru,7.286324,84
67,902,120,999,54,1053,200,ru,2.221864,85
68,5138,551,1833,137,1970,200,en,4.083023,86
69,683,228,703,57,760,200,en,1.829602,87
70,1019,327,788,81,869,200,en,2.952451,88
71,471,220,649,55,704,200,en,1.934162,89
72,538,226,671,56,727,200,en,2.033488,90
73,582,237,679,59,738,200,en,2.456314,91
74,2591,564,1190,141,1331,200,en,4.84887,98
75,3010,541,1299,135,1434,200,en,4.305857,99
76,3726,656,1477,164,1641,200,en,6.04276,100
77,2400,687,1141,171,1312,200,en,4.812424,101
78,2412,505,1140,126,1266,200,en,4.048775,102
79,4112,754,1575,188,1763,200,en,5.207632,103
80,3270,582,1364,145,1509,200,en,4.694093,104
81,4150,601,1579,150,1729,200,en,5.207365,105
82,1276,368,1166,169,1335,200,ru,4.19525,106
83,1341,379,1186,162,1348,200,ru,5.047959,107
84,804,380,952,167,1119,200,ru,4.730519,113
85,994,312,1049,142,1191,200,ru,3.771752,114
86,741,314,909,141,1050,200,ru,4.487993,115
87,672,188,892,84,976,200,ru,3.773537,116
88,1234,222,1150,102,1252,200,ru,3.273126,117
89,2553,266,1723,118,1841,200,ru,5.140462,118
90,17906,1089,5112,272,5384,200,en,7.631458,675
91,4199,743,1587,185,1772,200,en,6.64337,676
92,1580,583,1317,271,1588,200,ru,6.180747,119
93,90,254,633,118,751,200,ru,3.597233,124
94,4288,821,1605,205,1810,200,en,7.025536,695
95,2403,477,1140,119,1259,200,en,4.141854,126
96,4651,669,1710,167,1877,200,en,4.759812,127
97,7900,786,2529,196,2725,200,en,6.069588,128
98,1937,456,1020,114,1134,200,en,3.383386,129
99,5847,627,2028,156,2184,200,en,5.671583,130
100,7021,1066,2321,266,2587,200,en,7.144507,131
101,1971,552,1023,138,1161,200,en,4.712694,132
102,3825,597,1487,149,1636,200,en,4.448838,133
103,2371,519,1137,129,1266,200,en,3.86478,136
104,893,566,754,141,895,200,en,4.283652,137
105,6599,545,2215,136,2351,200,en,4.285558,138
106,7398,647,2381,161,2542,200,en,5.714208,139
107,316,196,611,49,660,200,en,2.487545,140
108,280,202,603,50,653,200,en,5.770539,141
109,2609,697,1196,174,1370,200,en,5.036155,142
110,656,261,894,121,1015,200,ru,3.513721,164
111,1262,442,848,110,958,200,en,4.351094,143
112,562,191,673,47,720,200,en,2.25998,144
113,562,187,673,46,719,200,en,1.525774,144
114,1496,337,905,84,989,200,en,2.924292,150
115,2027,449,1511,209,1720,200,ru,4.948391,151
116,1345,488,1198,224,1422,200,ru,5.623928,152
117,2016,475,1503,216,1719,200,ru,5.54651,153
118,2803,421,1850,192,2042,200,ru,4.385507,154
119,4004,748,2405,341,2746,200,ru,7.939078,165
120,2606,295,1761,132,1893,200,ru,4.988009,166
121,4965,485,2845,221,3066,200,ru,5.4544,167
122,1866,503,1426,229,1655,200,ru,5.824568,155
123,3961,322,2400,147,2547,200,ru,4.711207,168
124,4472,529,2618,234,2852,200,ru,7.629294,169
125,7250,660,2364,165,2529,200,en,6.490853,2192
126,2087,464,1535,211,1746,200,ru,5.890819,159
127,1672,357,1340,163,1503,200,ru,4.495329,160
128,1789,292,1387,130,1517,200,ru,3.994347,161
129,2387,473,1678,220,1898,200,ru,5.361091,162
130,11842,737,5949,308,6257,200,ru,14.669743,170
131,5792,241,3213,106,3319,200,ru,4.339934,171
132,6355,930,2138,232,2370,200,en,6.341538,2322
133,2027,201,1508,93,1601,200,ru,2.979493,176
134,1858,512,1433,232,1665,200,ru,6.697516,177
135,1143,369,1105,166,1271,200,ru,5.812315,185
136,1811,238,1408,106,1514,200,ru,3.258562,178
137,930,423,1012,195,1207,200,ru,5.412666,179
138,796,106,950,48,998,200,ru,1.829154,180
139,11424,514,5733,237,5970,200,ru,7.363369,181
140,469,152,805,68,873,200,ru,2.327711,182
141,2417,417,1671,190,1861,200,ru,5.2741,183
142,991,341,1037,152,1189,200,ru,4.579623,184
143,5777,449,3210,201,3411,200,ru,5.946332,229
144,2106,322,1549,147,1696,200,ru,5.087483,230
145,790,182,950,83,1033,200,ru,3.681709,191
146,1406,195,1220,88,1308,200,ru,2.503531,192
147,1328,210,1183,92,1275,200,ru,3.200683,193
148,1106,304,1095,139,1234,200,ru,4.017898,195
149,1703,372,1349,168,1517,200,ru,4.481684,196
150,641,207,878,93,971,200,ru,3.123051,198
151,939,301,992,130,1122,200,ru,3.962822,205
152,872,288,990,132,1122,200,ru,3.197678,206
153,1799,672,1404,312,1716,200,ru,6.909724,207
154,4258,534,2545,246,2791,200,ru,6.4269,208
155,1204,290,1143,130,1273,200,ru,3.771143,209
156,1631,372,1332,171,1503,200,ru,4.38554,210
157,2619,349,1742,151,1893,200,ru,5.093927,231
158,7135,623,3864,283,4147,200,ru,7.773301,232
159,10698,1223,5463,545,6008,200,ru,13.911024,822
160,4437,416,1656,104,1760,200,en,4.164187,215
161,156,89,661,40,701,200,ru,2.035788,239
162,9086,249,4659,105,4764,200,ru,5.408188,240
163,4534,529,1699,132,1831,200,en,4.268531,241
164,1049,255,792,63,855,200,en,2.485157,216
165,770,242,723,60,783,200,en,2.21099,217
166,3487,657,1402,164,1566,200,en,4.371049,218
167,1653,117,1335,53,1388,200,ru,1.910012,219
168,1802,504,1418,232,1650,200,ru,5.549998,220
169,1492,391,1269,178,1447,200,ru,5.308259,221
170,1585,497,1326,231,1557,200,ru,5.170068,224
171,1031,263,1060,120,1180,200,ru,3.558725,225
172,7371,730,2397,182,2579,200,en,5.427198,226
173,3729,441,1481,110,1591,200,en,3.755085,227
174,2012,326,1506,149,1655,200,ru,3.751001,228
175,1091,387,1084,179,1263,200,ru,4.601947,233
176,1724,218,1388,100,1488,200,ru,2.744677,234
177,1046,286,1072,132,1204,200,ru,3.770079,235
178,1449,168,1253,77,1330,200,ru,2.056956,236
179,1287,218,1179,101,1280,200,ru,2.684503,243
180,2395,351,1676,163,1839,200,ru,3.709266,244
181,7092,869,2329,217,2546,200,en,5.779202,246
182,494,245,656,61,717,200,en,1.946002,247
183,2014,403,1507,184,1691,200,ru,5.845301,248
184,1705,384,1365,174,1539,200,ru,4.982605,249
185,1226,333,1152,154,1306,200,ru,3.96269,250
186,1173,469,1129,216,1345,200,ru,5.555813,251
187,308,170,731,78,809,200,ru,1.666066,263
188,1108,379,808,94,902,200,en,3.569177,257
189,1328,311,862,77,939,200,en,2.906779,258
190,1631,182,1333,84,1417,200,ru,2.696108,259
191,3489,325,2164,145,2309,200,ru,5.202175,260
192,1261,331,848,82,930,200,en,2.399483,261
193,1941,346,1476,158,1634,200,ru,4.637813,262
194,1371,339,1208,157,1365,200,ru,4.485066,264
195,1507,325,1275,147,1422,200,ru,4.389483,265
196,907,162,1005,76,1081,200,ru,2.424511,269
197,2982,595,1290,148,1438,200,en,4.696981,270
198,4617,775,1684,193,1877,200,en,4.997218,271
199,6324,802,2112,200,2312,200,en,5.936351,272
200,1840,452,992,113,1105,200,en,3.552032,273
201,899,243,1005,110,1115,200,ru,3.975022,274
202,832,221,970,102,1072,200,ru,3.367492,275
203,1472,99,1263,45,1308,200,ru,2.031686,277
204,1045,323,1067,149,1216,200,ru,4.599533,278
205,751,196,932,89,1021,200,ru,2.647751,279
206,557,232,849,108,957,200,ru,3.451059,285
207,2840,516,1874,236,2110,200,ru,5.90578,286
208,492,122,811,55,866,200,ru,2.455343,287
209,3972,416,2344,179,2523,200,ru,5.936322,288
210,2911,491,1931,226,2157,200,ru,6.522542,289
211,2209,337,1601,156,1757,200,ru,3.977759,290
212,669,193,888,86,974,200,ru,3.05814,291
213,9140,883,4793,408,5201,200,ru,9.942866,292
214,1957,438,1476,196,1672,200,ru,6.806232,293
215,4642,572,1712,143,1855,200,en,5.13534,294
216,3249,504,1348,126,1474,200,en,4.14303,302
217,4534,597,1674,149,1823,200,en,4.878056,303
218,1957,459,1476,205,1681,200,ru,6.657865,293
219,4642,659,1712,164,1876,200,en,5.3696,294
220,1099,293,805,73,878,200,en,2.659736,304
221,1861,406,1429,184,1613,200,ru,5.089457,305
222,2152,495,1566,227,1793,200,ru,6.73592,306
223,597,299,862,135,997,200,ru,3.673683,307
224,626,305,879,142,1021,200,ru,3.391802,308
225,286,105,603,26,629,200,en,1.390601,1436
226,768,333,944,152,1096,200,ru,3.682928,312
227,2818,579,1235,144,1379,200,en,4.047779,313
228,3637,700,1440,175,1615,200,en,4.301515,314
229,369,82,761,38,799,200,ru,1.466485,447
230,1094,278,804,69,873,200,en,2.602776,315
231,860,270,746,67,813,200,en,2.241813,316
